0.10362,1.84E-12
0.12434,2.21E-12
0.14506,2.58E-12
0.16579,2.94E-12
0.15542,1.12E-12
0.18651,1.34E-12
0.21759,1.56E-12
0.24868,1.79E-12
0.20723,6.77E-13
0.24868,8.12E-13
0.29013,9.47E-13
0.33157,1.08E-12
0.25904,4.10E-13
0.31085,4.93E-13
0.36266,5.75E-13
0.41447,6.57E-13
0.31085,2.49E-13
0.37302,2.99E-13
0.43519,3.49E-13
0.49736,3.98E-13
0.10708,9.20E-13
0.1285,1.10E-12
0.14991,1.29E-12
0.17133,1.47E-12
0.16062,5.58E-13
0.19275,6.69E-13
0.22487,7.81E-13
0.257,8.93E-13
0.21416,3.38E-13
0.257,4.06E-13
0.29983,4.74E-13
0.34266,5.41E-13
0.26771,2.05E-13
0.32125,2.46E-13
0.37479,2.87E-13
0.42833,3.28E-13
0.32125,1.24E-13
0.3855,1.49E-13
0.44974,1.74E-13
0.51399,1.99E-13
0.10911,6.13E-13
0.13093,7.36E-13
0.15275,8.58E-13
0.17458,9.81E-13
0.16366,3.72E-13
0.1964,4.46E-13
0.22913,5.21E-13
0.26186,5.95E-13
0.21822,2.26E-13
0.26186,2.71E-13
0.30551,3.16E-13
0.34915,3.61E-13
0.27277,1.37E-13
0.32733,1.64E-13
0.38188,1.92E-13
0.43644,2.19E-13
0.32733,8.30E-14
0.39279,9.96E-14
0.45826,1.16E-13
0.52373,1.33E-13
0.11055,4.60E-13
0.13266,5.52E-13
0.15477,6.44E-13
0.17688,7.36E-13
0.16582,2.79E-13
0.19899,3.35E-13
0.23215,3.90E-13
0.26531,4.46E-13
0.2211,1.69E-13
0.26531,2.03E-13
0.30953,2.37E-13
0.35375,2.71E-13
0.27637,1.03E-13
0.33164,1.23E-13
0.38692,1.44E-13
0.44219,1.64E-13
0.33164,6.22E-14
0.39797,7.47E-14
0.4643,8.71E-14
0.53063,9.96E-14
0.11166,3.68E-13
0.134,4.41E-13
0.15633,5.15E-13
0.17866,5.89E-13
0.1675,2.23E-13
0.20099,2.68E-13
0.23449,3.12E-13
0.26799,3.57E-13
0.22333,1.35E-13
0.26799,1.62E-13
0.31266,1.89E-13
0.35732,2.17E-13
0.27916,8.21E-14
0.33499,9.85E-14
0.39082,1.15E-13
0.44665,1.31E-13
0.33499,4.98E-14
0.40199,5.97E-14
0.46899,6.97E-14
0.53598,7.97E-14
0.11258,3.07E-13
0.13509,3.68E-13
0.15761,4.29E-13
0.18012,4.91E-13
0.16886,1.86E-13
0.20264,2.23E-13
0.23641,2.60E-13
0.27018,2.98E-13
0.22515,1.13E-13
0.27018,1.35E-13
0.31521,1.58E-13
0.36024,1.80E-13
0.28144,6.84E-14
0.33773,8.21E-14
0.39401,9.58E-14
0.4503,1.09E-13
0.33773,4.15E-14
0.40527,4.98E-14
0.47282,5.81E-14
0.54036,6.64E-14
0.11335,2.63E-13
0.13602,3.15E-13
0.15868,3.68E-13
0.18135,4.20E-13
0.17002,1.59E-13
0.20402,1.91E-13
0.23803,2.23E-13
0.27203,2.55E-13
0.22669,9.67E-14
0.27203,1.16E-13
0.31737,1.35E-13
0.36271,1.55E-13
0.28336,5.86E-14
0.34004,7.04E-14
0.39671,8.21E-14
0.45338,9.38E-14
0.34004,3.56E-14
0.40805,4.27E-14
0.47605,4.98E-14
0.54406,5.69E-14
0.11401,2.30E-13
0.13682,2.76E-13
0.15962,3.22E-13
0.18242,3.68E-13
0.17102,1.39E-13
0.20522,1.67E-13
0.23943,1.95E-13
0.27363,2.23E-13
0.22803,8.46E-14
0.27363,1.02E-13
0.31924,1.18E-13
0.36484,1.35E-13
0.28503,5.13E-14
0.34204,6.16E-14
0.39905,7.18E-14
0.45605,8.21E-14
0.34204,3.11E-14
0.41045,3.73E-14
0.47886,4.36E-14
0.54726,4.98E-14
0.1146,2.04E-13
0.13752,2.45E-13
0.16044,2.86E-13
0.18336,3.27E-13
0.1719,1.24E-13
0.20628,1.49E-13
0.24067,1.74E-13
0.27505,1.98E-13
0.2292,7.52E-14
0.27505,9.02E-14
0.32089,1.05E-13
0.36673,1.20E-13
0.28651,4.56E-14
0.34381,5.47E-14
0.40111,6.38E-14
0.45841,7.30E-14
0.34381,2.77E-14
0.41257,3.32E-14
0.48133,3.87E-14
0.55009,4.43E-14
0.11513,1.84E-13
0.13816,2.21E-13
0.16118,2.58E-13
0.18421,2.94E-13
0.17269,1.12E-13
0.20723,1.34E-13
0.24177,1.56E-13
0.27631,1.79E-13
0.23026,6.77E-14
0.27631,8.12E-14
0.32236,9.47E-14
0.36841,1.08E-13
0.28782,4.10E-14
0.34539,4.93E-14
0.40295,5.75E-14
0.46052,6.57E-14
0.34539,2.49E-14
0.41447,2.99E-14
0.48354,3.49E-14
0.55262,3.98E-14
